Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year
Yemen,2019,1st,113.5,10.0,10.0,9.6,9.7,8.1,7.3,9.8,9.8,9.9,9.7,9.6,10.0,0.8
Somalia,2019,2nd,112.3,9.6,10.0,8.9,8.8,9.4,9.2,9.0,9.4,9.3,10.0,9.4,9.2,-0.9
South Sudan,2019,3rd,112.2,9.7,9.7,9.4,9.8,8.9,6.5,10.0,9.8,9.3,9.7,10.0,9.4,-1.2
Syria,2019,4th,111.5,9.8,9.9,10.0,8.8,7.5,8.4,9.9,9.4,10.0,7.9,10.0,10.0,0.1
Congo Democratic Republic,2019,5th,110.2,8.8,9.8,10.0,8.3,8.6,7.0,9.4,9.2,9.6,9.8,10.0,9.7,-0.5
Central African Republic,2019,6th,108.9,8.6,9.4,8.3,8.7,9.9,7.1,9.1,10.0,9.5,9.1,10.0,9.2,-2.3
Chad,2019,7th,108.5,9.5,9.8,8.2,9.0,9.0,8.5,9.6,9.1,8.8,9.5,9.5,8.0,0.2
Sudan,2019,8th,108.0,8.4,9.7,10.0,8.1,7.7,8.3,9.8,8.6,9.4,9.4,9.6,8.9,-0.7
Afghanistan,2019,9th,105.0,10.0,8.6,7.8,8.6,7.5,7.8,9.0,9.8,7.9,9.3,9.6,9.1,-1.6
Zimbabwe,2019,10th,99.5,8.8,10.0,6.7,8.1,7.9,7.3,9.4,8.6,8.2,9.0,8.2,7.3,-2.8
Guinea,2019,11th,99.4,8.6,9.6,9.1,8.6,7.3,7.1,9.8,9.2,7.1,8.6,7.6,6.8,-2.2
Haiti,2019,12th,99.3,7.2,9.3,5.9,8.4,9.2,8.4,8.8,9.2,7.2,8.7,7.4,9.6,-2.7
Iraq,2019,13th,99.1,8.7,9.6,8.8,5.9,6.7,7.1,8.9,8.7,8.1,8.4,9.1,9.1,-3.1
Nigeria,2019,14th,98.5,9.0,9.9,9.4,7.8,8.1,6.9,8.0,8.9,8.3,9.2,7.2,5.9,-1.4
Burundi,2019,15th,98.2,8.6,7.9,7.9,8.4,7.2,6.0,9.0,8.2,9.0,9.1,8.4,8.4,0.8
Cameroon,2019,16th,97.0,8.5,9.6,8.5,6.5,7.5,7.5,9.2,8.2,7.7,8.3,8.3,7.2,1.7
Eritrea,2019,17th,96.4,6.6,8.1,7.7,7.7,8.4,8.9,9.4,7.8,8.7,8.4,7.7,7.0,-0.8
Niger,2019,18th,96.2,8.7,8.9,7.7,7.1,8.0,7.6,7.3,9.3,6.8,8.8,8.3,7.8,0.1
Guinea Bissau,2019,19th,95.5,8.3,9.6,4.9,7.7,9.2,7.5,8.9,8.9,7.2,8.5,6.7,8.0,-2.6
Uganda,2019,20th,95.3,7.5,8.9,8.3,6.3,7.0,7.3,8.6,7.8,8.0,9.0,9.1,7.5,0.2
Mali,2019,21st,94.5,9.5,5.4,8.1,7.4,7.0,8.3,6.5,8.5,7.6,8.3,8.4,9.6,1.0
Myanmar,2019,22nd,94.3,8.7,8.0,9.8,5.3,7.1,6.9,8.3,8.3,9.3,5.8,9.1,7.7,-1.8
Pakistan,2019,23rd,94.2,8.5,9.3,9.4,6.3,5.9,6.8,7.9,8.0,7.4,7.8,8.1,8.8,-2.2
Ethiopia,2019,23rd,94.2,8.2,7.9,8.5,6.4,6.5,6.6,8.0,8.3,8.2,9.0,8.7,7.9,-5.3
Kenya,2019,25th,93.5,7.9,9.1,8.6,6.6,7.4,7.2,8.2,8.0,6.8,8.6,7.7,7.5,-3.8
North Korea,2019,26th,92.7,8.3,8.5,5.8,8.9,7.5,4.4,10.0,8.6,9.4,7.1,4.4,9.8,-0.5
Congo Republic,2019,27th,92.5,7.0,6.7,7.8,7.6,8.1,7.4,9.0,8.9,8.4,8.1,7.0,6.5,-0.6
Libya,2019,28th,92.2,9.0,9.7,7.5,7.7,5.3,6.0,9.7,6.4,9.1,4.3,7.7,9.7,-2.4
Cote d'Ivoire,2019,29th,92.1,7.4,9.1,7.5,6.7,7.6,7.0,7.3,8.2,7.3,8.3,7.2,8.4,-2.4
Liberia,2019,30th,90.2,6.7,8.3,5.2,7.9,7.8,7.5,6.6,8.7,6.5,8.2,8.1,8.7,-2.3
Mauritania,2019,31st,90.1,6.3,8.8,7.0,7.1,6.2,6.9,8.3,8.6,7.5,8.5,7.4,7.4,-2.1
Venezuela,2019,32nd,89.3,7.4,8.8,7.6,8.6,6.9,6.1,9.3,8.3,9.0,6.2,5.6,5.5,3.1
Mozambique,2019,33rd,88.7,6.7,6.6,5.6,8.6,9.3,7.7,6.8,9.1,5.6,9.3,5.9,7.4,0.0
Egypt,2019,34th,88.4,8.2,9.1,8.9,7.9,5.7,5.3,8.6,4.3,10.0,6.3,6.7,7.3,-0.4
Angola,2019,35th,87.8,6.9,7.2,7.5,6.6,9.3,6.6,8.0,8.7,6.7,8.9,6.5,4.9,-1.6
Bangladesh,2019,36th,87.7,7.6,9.6,8.0,6.1,6.1,7.6,7.6,7.5,7.3,7.0,7.5,5.8,-2.6
Rwanda,2019,37th,87.5,6.0,8.0,9.8,6.2,7.8,7.1,6.8,6.8,6.6,7.4,8.1,6.9,-1.8
Togo,2019,38th,87.4,7.0,7.6,5.4,7.0,8.3,7.5,8.5,8.5,7.2,7.5,6.9,6.0,2.3
Sierra Leone,2019,39th,86.8,4.4,7.8,6.2,8.6,8.3,8.0,6.3,8.8,5.2,8.5,7.4,7.3,-2.3
Zambia,2019,40th,85.7,5.1,5.9,5.3,7.5,9.4,7.3,8.1,7.3,7.4,9.2,6.1,7.0,-1.6
Timor-Leste,2019,41st,85.5,6.6,8.3,5.9,7.5,6.8,7.6,6.1,7.9,4.7,9.2,5.7,9.2,-2.8
Eswatini,2019,42nd,85.3,5.7,6.8,2.8,9.8,8.2,7.0,8.5,7.5,8.8,8.6,4.3,7.3,-2.3
Djibouti,2019,43rd,85.1,5.9,7.3,5.9,7.0,7.7,5.2,8.1,7.6,7.7,7.8,6.7,8.2,-2.1
Lebanon,2019,44th,85.0,8.1,9.6,8.2,6.0,5.2,5.6,7.1,5.1,7.2,5.0,8.7,9.1,-1.8
Nepal,2019,45th,84.7,5.9,8.8,9.7,5.6,6.1,6.2,6.6,6.6,7.1,8.4,7.2,6.5,-3.2
Sri Lanka,2019,46th,84.0,6.8,9.1,9.0,5.5,6.5,7.1,6.9,4.5,8.4,6.0,7.8,6.3,-0.9
Burkina Faso,2019,47th,83.9,8.2,7.8,3.9,6.9,7.6,7.2,6.5,8.1,5.6,8.5,6.0,7.5,-2.7
Gambia,2019,47th,83.9,6.3,7.7,3.2,8.4,6.3,7.9,7.8,7.3,8.4,8.2,6.0,6.4,-3.2
Malawi,2019,49th,83.3,4.8,8.1,5.3,8.0,8.1,7.4,6.1,8.0,5.9,9.1,5.2,7.4,-2.2
Papua New Guinea,2019,50th,83.1,6.7,7.1,5.7,6.4,8.8,7.1,6.2,9.1,7.0,8.1,4.6,6.2,-1.7
Philippines,2019,50th,83.1,9.5,8.0,7.9,4.9,5.1,6.0,7.2,6.1,7.4,7.5,6.9,6.6,-2.4
Iran,2019,52nd,83.0,6.9,9.6,9.5,6.9,5.3,5.9,9.0,3.9,8.9,4.5,5.9,6.7,-1.3
Equatorial Guinea,2019,53rd,82.6,5.9,8.2,6.3,5.9,8.1,4.9,9.8,8.1,8.6,7.9,4.5,4.4,-0.8
Cambodia,2019,54th,82.5,6.4,8.6,6.3,5.3,6.2,7.2,8.7,7.6,7.6,6.2,5.1,7.4,-1.6
Solomon Islands,2019,55th,81.9,5.9,8.2,5.9,7.1,8.4,6.9,6.2,7.8,4.6,7.7,4.4,8.8,-1.2
Comoros,2019,56th,81.7,6.5,8.0,4.8,7.6,7.0,6.8,7.1,7.6,5.9,7.6,5.3,7.4,-0.9
Guatemala,2019,57th,81.4,7.1,7.1,9.1,5.1,7.5,7.3,6.7,6.9,7.3,7.2,5.4,4.6,-0.4
Madagascar,2019,58th,80.9,6.9,7.8,3.5,7.3,9.0,6.7,6.5,8.6,5.6,9.0,3.9,6.2,-2.7
Turkey,2019,59th,80.3,7.7,8.8,10.0,4.6,5.3,4.7,7.5,4.6,8.1,4.9,9.0,5.1,-1.9
Tanzania,2019,60th,80.1,5.4,5.7,5.0,6.2,7.1,7.6,6.3,8.8,6.4,8.3,6.1,7.2,0.8
Lesotho,2019,61st,79.7,6.5,7.3,3.3,8.5,8.1,8.0,5.3,7.5,5.2,8.3,4.4,7.2,-0.4
Laos,2019,62nd,78.7,5.0,8.3,6.7,5.4,5.9,7.4,9.0,6.4,7.3,6.7,5.1,5.5,-2.0
Nicaragua,2019,63rd,78.1,5.8,7.1,5.9,5.7,7.4,7.9,8.1,6.2,7.3,5.1,4.2,7.4,2.8
Honduras,2019,64th,77.8,7.0,7.3,5.3,6.1,7.1,6.4,6.9,6.4,6.9,5.9,5.1,7.5,0.6
Tajikistan,2019,65th,77.7,6.1,8.4,6.8,6.7,4.5,6.0,9.0,5.2,8.6,7.3,3.8,5.3,-1.8
Senegal,2019,66th,77.2,5.6,7.0,5.8,7.1,7.0,7.7,4.1,7.4,5.4,7.4,6.7,6.1,-2.4
Israel and West Bank,2019,67th,76.5,6.3,8.1,10.0,4.2,6.2,4.4,6.2,4.2,6.9,5.4,7.2,7.5,-2.0
Kyrgyz Republic,2019,68th,76.2,6.5,8.0,8.1,6.4,5.3,7.0,7.1,4.5,6.9,5.3,4.7,6.4,-2.4
Jordan,2019,69th,75.9,5.3,6.9,8.6,6.8,5.2,4.5,6.0,3.6,7.4,5.9,8.8,6.9,-0.8
Colombia,2019,70th,75.7,6.9,7.6,7.1,4.8,6.8,5.6,5.7,5.3,6.7,6.0,7.8,5.4,-0.9
Uzbekistan,2019,70th,75.7,6.8,8.8,6.6,5.8,6.2,5.5,9.5,4.4,7.9,5.1,5.0,4.1,-3.4
Algeria,2019,72nd,75.4,6.6,7.1,7.4,6.3,6.0,6.1,7.4,5.4,6.6,4.6,7.4,4.3,-0.4
Russia,2019,73rd,74.7,8.3,8.1,8.6,4.6,5.6,3.6,8.2,3.6,9.1,4.4,5.2,5.4,-2.5
India,2019,74th,74.4,7.2,7.3,8.0,5.3,6.4,6.1,4.1,6.8,5.6,7.7,4.7,5.1,-2.0
Benin,2019,75th,73.6,5.9,6.7,2.8,6.5,8.0,7.1,4.8,8.3,4.9,7.7,4.9,6.0,-2.1
Azerbaijan,2019,76th,73.2,5.8,7.9,5.9,4.4,5.5,4.3,9.0,4.8,8.3,4.0,7.1,6.2,-1.4
Thailand,2019,77th,73.1,8.4,9.4,7.9,3.2,4.7,4.7,7.8,3.8,8.1,6.2,5.7,3.2,-1.9
Morocco,2019,78th,73.0,5.2,6.6,8.5,5.2,5.4,7.9,6.8,4.8,6.2,4.6,5.9,5.8,-1.0
Micronesia,2019,78th,73.0,4.0,5.6,3.7,8.2,7.7,9.6,4.9,5.4,3.8,6.3,3.9,9.9,-1.5
Bolivia,2019,80th,72.9,5.9,8.0,5.4,5.4,8.2,6.8,6.7,6.2,5.7,6.0,3.4,5.2,-2.4
Georgia,2019,81st,72.0,6.2,9.1,7.3,5.6,4.9,4.9,8.1,3.7,5.0,3.1,6.9,7.2,-2.0
Bhutan,2019,81st,72.0,3.9,7.5,8.5,5.0,5.3,6.9,3.7,5.5,6.0,5.5,6.4,7.7,-2.3
Brazil,2019,83rd,71.8,7.0,6.2,7.0,5.0,7.4,4.5,7.0,6.6,6.9,7.3,3.3,3.6,3.1
Fiji,2019,84th,71.7,6.8,7.9,6.3,5.9,5.7,8.2,6.3,4.4,6.3,4.1,2.7,7.1,-2.8
Turkmenistan,2019,85th,71.4,5.7,7.8,6.0,5.3,6.4,5.1,9.7,5.0,8.9,5.1,2.9,3.5,-1.3
Bosnia and Herzegovina,2019,86th,71.3,5.4,8.7,7.2,6.2,4.7,5.9,6.3,3.1,5.0,3.4,7.2,8.2,0.0
Ecuador,2019,87th,71.2,6.2,8.2,6.7,5.7,6.4,5.2,5.7,5.9,4.2,5.7,5.5,5.7,-3.1
Sao Tome and Principe,2019,88th,71.1,5.0,6.3,4.2,8.2,6.0,8.5,5.0,5.3,2.9,6.4,4.8,8.5,-1.0
China,2019,88th,71.1,5.6,7.2,7.3,4.2,6.7,4.6,8.7,5.1,8.8,5.9,4.3,2.7,-1.3
South Africa,2019,88th,71.1,6.5,6.6,6.1,7.3,6.9,5.5,6.5,6.7,4.2,6.6,4.8,3.4,-1.8
Ukraine,2019,91st,71.0,7.1,8.0,6.1,6.5,3.6,5.2,7.6,3.8,6.6,3.6,4.7,8.4,-1.5
Gabon,2019,92nd,70.5,4.8,7.9,3.2,5.8,5.9,5.8,7.8,6.3,7.4,6.5,3.9,5.1,-2.0
Saudi Arabia,2019,93rd,70.4,6.0,8.5,8.4,4.2,4.7,3.9,8.4,3.2,9.3,4.7,4.4,4.7,0.2
Indonesia,2019,93rd,70.4,5.9,7.1,7.3,4.5,5.2,6.9,4.5,5.3,7.0,7.3,4.8,4.6,-1.9
Tunisia,2019,95th,70.1,7.7,7.8,7.1,6.7,4.9,5.9,6.7,4.0,5.9,3.6,4.1,5.8,-2.0
El Salvador,2019,96th,69.8,6.9,4.3,6.1,5.4,5.8,8.5,4.2,5.8,5.7,7.0,4.8,5.3,-1.3
Maldives,2019,96th,69.8,5.8,8.6,4.2,5.3,3.0,6.2,8.3,5.2,7.7,5.4,4.1,5.9,-2.6
Mexico,2019,98th,69.7,8.8,5.4,6.6,4.5,5.5,5.3,5.9,6.2,5.9,5.5,4.8,5.2,-1.9
Peru,2019,99th,68.2,6.5,6.9,8.0,3.6,6.8,6.8,6.6,6.1,3.7,6.2,4.1,2.9,-1.9
Guyana,2019,99th,68.2,6.7,5.1,6.7,5.8,5.1,8.8,4.8,5.6,3.4,5.6,3.5,7.1,-2.2
Belarus,2019,99th,68.2,5.5,8.3,6.5,5.2,4.3,3.4,8.8,3.6,7.7,4.9,3.0,7.0,-2.3
Serbia,2019,102nd,68.0,5.1,8.0,7.7,6.2,4.2,5.3,5.5,3.6,4.1,3.7,8.0,6.6,-0.1
Moldova,2019,103rd,67.1,5.5,8.3,7.0,5.8,4.2,6.7,6.3,4.5,4.6,4.2,3.3,6.8,-2.4
Paraguay,2019,104th,67.0,6.2,7.8,5.2,4.9,7.3,5.6,6.8,5.6,5.7,4.9,2.9,4.2,-2.7
Armenia,2019,105th,66.7,4.9,7.4,5.5,6.5,3.9,6.4,7.1,3.3,6.6,2.5,6.4,6.3,-2.8
Cape Verde,2019,106th,66.6,5.0,5.5,3.5,5.8,6.3,7.5,4.7,5.4,3.4,6.6,4.2,8.7,-1.4
Namibia,2019,107th,66.4,5.1,3.5,5.2,7.0,7.9,6.8,3.0,6.8,3.2,7.8,4.4,5.8,-2.4
Dominican Republic,2019,108th,66.2,6.4,6.2,5.2,4.9,5.3,6.6,6.0,6.3,5.3,6.5,2.7,4.8,-3.0
Vietnam,2019,109th,66.1,4.2,6.9,5.8,4.3,4.2,5.9,8.4,4.1,7.8,5.5,4.1,4.9,-2.3
Ghana,2019,110th,65.9,4.6,4.9,3.8,5.7,6.0,7.8,3.6,7.2,5.0,6.6,4.4,6.3,-2.3
Macedonia,2019,111th,64.6,5.3,7.3,6.6,6.4,4.9,5.2,5.7,3.9,3.2,2.5,7.5,6.1,-0.2
Samoa,2019,112th,64.2,4.1,5.1,4.2,6.2,4.3,9.5,4.9,4.3,3.9,5.1,2.9,9.7,-1.3
Bahrain,2019,113th,63.8,6.3,7.6,9.0,3.9,4.3,3.4,8.5,1.8,8.6,3.7,2.0,4.8,-0.6
Belize,2019,114th,62.5,6.9,4.3,4.1,6.3,4.8,6.3,4.6,5.3,5.3,4.3,3.1,7.2,-1.2
Suriname,2019,115th,61.9,4.6,5.8,5.8,7.0,5.9,6.2,4.4,5.0,4.3,5.1,2.5,5.3,-2.1
Kazakhstan,2019,116th,61.6,4.6,7.6,8.1,5.6,3.6,3.6,8.5,3.4,6.7,3.9,2.4,3.6,-1.8
Jamaica,2019,117th,61.2,6.8,3.7,2.8,6.5,4.5,8.6,4.2,6.2,5.6,4.4,2.7,5.2,-1.9
Cuba,2019,118th,60.8,4.6,7.0,3.4,4.2,4.8,5.2,7.5,3.9,6.7,5.3,3.4,4.8,-2.1
Malaysia,2019,119th,60.5,5.8,6.8,6.0,3.1,4.5,5.1,6.9,3.6,7.4,4.7,3.4,3.2,-3.0
Botswana,2019,120th,59.5,3.8,3.3,4.3,5.8,7.2,5.5,2.7,6.5,5.1,7.9,3.9,3.5,-2.5
Albania,2019,121st,58.9,5.1,6.2,4.3,6.0,3.0,7.8,5.7,3.8,4.2,3.1,3.0,6.7,-1.2
Cyprus,2019,122nd,57.8,4.1,7.9,5.7,5.4,5.3,3.5,4.2,2.1,2.8,3.2,5.3,8.4,-2.4
Grenada,2019,123rd,57.6,5.2,5.6,3.6,5.6,4.6,7.9,4.9,3.6,2.7,4.2,2.6,7.1,-2.3
Brunei Darussalam,2019,124th,57.5,4.5,7.4,5.9,3.5,7.5,4.4,7.7,1.5,7.1,3.1,1.6,3.3,-2.3
Montenegro,2019,125th,55.3,4.6,6.5,8.5,5.3,1.8,4.1,4.1,3.3,3.7,2.2,4.0,7.1,-0.1
Seychelles,2019,126th,55.2,5.8,6.0,4.2,3.9,5.3,5.7,4.9,2.1,3.8,4.5,2.6,6.4,-1.6
Antigua and Barbuda,2019,127th,54.4,5.7,3.7,3.6,5.1,4.2,6.4,4.8,3.7,4.5,4.3,2.9,5.5,-1.2
Mongolia,2019,128th,54.1,3.2,5.5,3.2,4.8,5.8,3.8,4.1,4.8,4.2,4.9,2.6,7.2,-0.8
Greece,2019,129th,53.9,4.3,4.1,4.8,5.7,2.9,3.3,6.1,3.8,3.3,3.9,5.7,6.1,-1.4
Kuwait,2019,130th,53.2,3.6,7.5,4.1,2.4,3.9,3.6,7.3,2.0,7.3,4.4,2.9,4.2,-2.7
Trinidad and Tobago,2019,131st,53.0,6.5,5.6,3.6,4.3,4.7,7.8,3.9,3.7,3.6,3.9,2.3,3.1,-1.6
Bulgaria,2019,132nd,50.6,4.3,5.3,4.8,5.2,3.8,4.2,3.9,3.8,3.2,3.5,4.3,4.3,-1.0
Oman,2019,133rd,50.0,3.6,6.6,2.3,4.1,4.2,2.5,7.0,2.9,7.5,4.2,2.1,2.9,-2.7
Hungary,2019,134th,49.6,2.7,5.3,4.2,4.8,3.2,3.6,6.4,2.6,5.3,1.4,5.9,4.2,-0.6
Bahamas,2019,135th,48.8,4.9,4.5,3.5,4.2,4.2,4.3,3.0,4.0,4.0,6.3,2.2,3.7,-1.2
Barbados,2019,136th,48.0,4.6,4.2,3.5,5.7,4.3,5.3,1.9,2.4,3.5,4.6,1.9,6.0,-0.2
Romania,2019,137th,47.8,2.5,5.7,6.2,4.4,3.6,4.5,5.6,3.4,3.5,2.6,2.3,3.6,-1.5
Croatia,2019,138th,47.5,3.0,4.4,5.2,5.3,2.7,4.9,2.3,2.6,3.2,2.9,6.4,4.6,-1.3
Panama,2019,139th,47.0,5.2,2.2,5.6,2.8,6.6,4.6,2.9,4.4,3.8,4.1,2.5,2.3,-2.5
Argentina,2019,140th,46.0,4.9,2.8,4.4,4.9,5.2,3.0,4.2,3.3,3.9,3.2,1.9,4.3,0.0
Qatar,2019,141st,45.4,2.0,5.0,4.0,1.5,4.6,2.1,6.4,1.3,6.4,3.2,1.4,7.6,-2.6
Latvia,2019,142nd,43.9,3.0,4.3,8.5,3.5,3.5,5.1,2.8,2.4,3.0,2.3,2.2,3.3,-1.0
Italy,2019,143rd,43.8,5.1,4.9,4.9,5.2,2.3,2.0,3.4,3.0,1.4,3.5,5.3,2.8,0.0
Poland,2019,144th,42.8,2.4,4.2,6.2,3.8,2.4,4.7,4.1,2.1,4.2,2.4,3.0,3.4,1.4
Costa Rica,2019,145th,42.0,3.7,3.8,3.6,4.6,4.7,4.1,1.8,3.4,1.5,2.7,3.7,4.4,-1.2
Estonia,2019,146th,40.8,2.7,5.9,7.6,3.1,2.6,4.3,2.1,2.3,1.7,2.2,2.5,3.7,-2.2
Spain,2019,147th,40.7,3.4,6.9,6.1,4.6,2.9,1.3,6.9,1.9,1.2,1.4,2.0,2.0,-0.7
Slovak Republic,2019,148th,40.5,1.8,5.0,6.3,4.0,2.9,4.0,4.4,2.0,2.4,1.7,3.2,2.7,-2.0
United Arab Emirates,2019,149th,40.1,3.1,3.6,2.8,2.2,2.8,2.5,6.6,1.6,7.6,3.4,1.8,2.1,-2.7
Mauritius,2019,150th,38.9,1.7,3.2,3.8,4.5,2.9,4.3,2.4,2.9,3.8,3.0,2.3,4.1,-1.6
Chile,2019,150th,38.9,3.8,2.2,3.0,3.7,5.1,3.8,2.7,3.4,3.2,4.7,1.8,1.5,-1.8
Lithuania,2019,152nd,38.1,2.8,3.0,3.8,3.9,4.2,4.6,2.1,2.9,2.7,2.2,1.9,4.0,-1.3
United States,2019,153rd,38.0,3.5,5.8,6.1,2.1,3.7,1.9,2.6,1.2,3.8,3.3,2.4,1.6,0.3
Czechia,2019,154th,37.6,3.2,5.3,4.8,4.0,2.1,3.0,4.7,2.0,2.2,1.0,3.2,2.1,-1.4
United Kingdom,2019,155th,36.7,3.5,5.5,6.4,3.9,4.0,2.5,2.3,1.5,1.5,1.9,1.6,2.0,2.4
Malta,2019,156th,34.5,3.0,2.0,3.3,3.7,2.0,3.7,3.3,1.5,3.1,2.4,3.8,2.8,-1.7
Japan,2019,157th,34.3,1.6,2.6,3.1,3.5,1.4,3.3,0.9,1.6,3.2,6.2,3.8,3.2,-0.1
Uruguay,2019,158th,34.0,4.3,2.7,2.2,3.8,3.3,3.8,0.7,2.7,2.9,3.2,2.1,2.3,-1.4
South Korea,2019,159th,33.7,2.1,3.9,2.7,1.9,2.4,3.7,3.6,1.3,3.2,2.3,1.6,5.0,-2.1
France,2019,160th,32.0,3.5,1.9,7.0,3.7,3.4,2.3,1.5,1.2,1.6,2.2,2.2,1.5,-0.3
Belgium,2019,161st,28.6,2.6,4.4,4.7,4.2,2.1,2.0,1.4,1.7,1.0,1.7,2.2,0.7,-1.0
Singapore,2019,162nd,28.1,1.0,4.0,2.0,1.4,3.2,2.7,3.9,1.0,4.6,2.2,1.1,1.0,-2.4
Slovenia,2019,163rd,28.0,1.0,2.0,4.2,3.2,2.8,3.6,2.1,1.3,1.0,1.7,3.4,1.7,-2.3
Portugal,2019,164th,25.3,1.0,2.5,1.9,4.5,1.9,2.2,1.0,2.2,1.2,2.1,1.8,2.9,-2.0
Austria,2019,165th,25.0,1.6,3.2,4.5,1.6,2.3,1.4,1.1,1.1,0.9,1.3,5.0,0.9,-1.2
Netherlands,2019,166th,24.8,2.1,3.4,4.2,2.1,1.6,2.5,1.0,0.8,1.0,1.9,3.2,1.0,-1.4
Germany,2019,167th,24.7,2.3,2.6,4.6,1.6,2.4,2.1,0.7,0.9,0.8,1.4,4.6,0.7,-1.1
Ireland,2019,168th,20.6,2.7,1.5,1.0,2.8,1.6,2.8,0.7,1.4,1.8,1.7,1.4,1.2,-0.1
Luxembourg,2019,169th,20.4,1.3,3.4,2.7,1.2,1.2,1.7,0.7,1.7,1.0,1.6,3.1,0.8,-0.3
Sweden,2019,170th,20.3,2.7,1.8,1.7,1.5,1.5,1.1,0.8,0.9,0.9,1.6,4.9,0.9,-0.5
New Zealand,2019,171st,20.1,1.4,1.4,3.2,3.2,1.9,2.3,0.6,1.0,0.8,1.7,1.7,0.9,-0.8
Canada,2019,172nd,20.0,2.8,2.5,2.8,1.5,2.1,1.7,0.7,1.0,1.4,1.3,1.6,0.7,-1.5
Iceland,2019,173rd,19.8,0.7,1.8,1.0,3.1,0.9,2.5,1.0,1.0,1.0,1.3,1.7,3.8,-0.5
Australia,2019,174th,19.7,2.7,1.7,3.3,1.6,1.6,1.0,1.0,1.5,1.7,1.2,1.7,0.7,-1.1
Denmark,2019,175th,19.5,1.3,1.4,4.3,1.6,1.2,1.9,0.9,0.9,1.7,1.6,2.0,0.7,-0.3
Switzerland,2019,176th,18.7,1.1,1.0,3.3,1.9,1.8,1.7,0.7,1.0,1.4,1.4,2.7,0.7,-0.5
Norway,2019,177th,18.0,2.1,1.1,3.3,1.9,1.0,1.3,0.6,0.8,0.9,1.2,2.8,1.0,-0.3
Finland,2019,178th,16.9,2.5,1.4,1.2,2.9,0.7,2.0,0.9,0.7,0.7,1.0,1.9,1.0,-1.0
